timestamp,Infrared to Red Signal Ratio
11/20/25 13:13:53,0
11/20/25 13:14:53,29
11/20/25 13:15:53,-73
11/20/25 13:16:53,8
11/20/25 13:17:53,0
11/20/25 13:18:53,0
11/20/25 13:19:53,0
11/20/25 13:20:53,-31
11/20/25 13:21:53,0
11/20/25 13:22:53,1
11/20/25 13:23:53,0
11/20/25 13:24:53,14
11/20/25 13:25:53,-2
11/20/25 13:26:53,0
11/20/25 13:27:53,0
11/20/25 13:28:53,-28
11/20/25 13:29:53,-6
11/20/25 13:30:53,3
11/20/25 13:31:53,-18
11/20/25 13:32:53,-3
11/20/25 13:33:53,-11
11/20/25 13:34:53,72
11/20/25 13:35:53,21
11/20/25 13:36:53,-39
11/20/25 13:37:54,0
11/20/25 13:38:54,0
11/20/25 13:39:54,0
11/20/25 13:40:54,48
11/20/25 13:41:54,-48
11/20/25 13:42:54,-3
11/20/25 13:43:54,0
11/20/25 13:44:54,-41
11/20/25 13:45:54,9
11/20/25 13:46:54,-35
